Time	Channel A
(us)	(V)

9.15999994	-0.02563555
9.19999994	0.06317332
9.23999994	0.06317332
9.27999994	-0.02563555
9.31999994	-0.02563555
9.35999994	-0.02563555
9.39999994	0.06317332
9.43999994	0.06317332
9.47999994	0.06317332
9.51999994	0.06317332
9.55999994	0.06317332
9.59999994	0.06317332
9.63999994	0.06317332
9.67999994	0.15167700
9.71999994	0.06317332
9.75999994	0.15167700
9.79999994	0.15167700
9.83999994	0.06317332
9.87999994	0.15167700
9.91999994	0.15167700
9.95999994	0.15167700
9.99999994	0.15167700
10.03999994	0.15167700
10.07999994	0.15167700
10.11999994	0.15167700
10.15999994	0.15167700
10.19999994	0.15167700
10.23999994	0.24048580
10.27999994	0.15167700
10.31999994	0.24048580
10.35999994	0.24048580
10.39999994	0.24048580
10.43999994	0.24048580
10.47999994	0.24048580
10.51999994	0.24048580
10.55999994	0.24048580
10.59999994	0.24048580
10.63999994	0.24048580
10.67999994	0.24048580
10.71999993	0.24048580
10.75999993	0.24048580
10.79999993	0.24048580
10.83999993	0.24048580
10.87999993	0.24048580
10.91999993	0.24048580
10.95999993	0.24048580
10.99999993	0.24048580
11.03999993	0.24048580
11.07999993	0.24048580
11.11999993	0.32898950
11.15999993	0.32898950
11.19999993	0.24048580
11.23999993	0.32898950
11.27999993	0.32898950
11.31999993	0.32898950
11.35999993	0.32898950
11.39999993	0.32898950
11.43999993	0.32898950
11.47999993	0.32898950
11.51999993	0.32898950
11.55999993	0.32898950
11.59999993	0.32898950
11.63999993	0.32898950
11.67999993	0.32898950
11.71999993	0.32898950
11.75999993	0.41749320
11.79999993	0.41749320
11.83999993	0.41749320
11.87999993	0.41749320
11.91999993	0.41749320
11.95999993	0.50630210
11.99999993	0.50630210
12.03999993	0.50630210
12.07999993	0.50630210
12.11999993	0.50630210
12.15999993	0.50630210
12.19999993	0.50630210
12.23999993	0.50630210
12.27999993	0.50630210
12.31999993	0.50630210
12.35999992	0.50630210
12.39999992	0.59480580
12.43999992	0.59480580
12.47999992	0.59480580
12.51999992	0.59480580
12.55999992	0.68361460
12.59999992	0.59480580
12.63999992	0.59480580
12.67999992	0.68361460
12.71999992	0.68361460
12.75999992	0.68361460
12.79999992	0.68361460
12.83999992	0.68361460
12.87999992	0.68361460
12.91999992	0.77211830
12.95999992	0.77211830
12.99999992	0.77211830
13.03999992	0.77211830
13.07999992	0.86092720
13.11999992	0.77211830
13.15999992	0.86092720
13.19999992	0.86092720
13.23999992	0.86092720
13.27999992	0.86092720
13.31999992	0.94943080
13.35999992	0.86092720
13.39999992	0.94943080
13.43999992	0.94943080
