Time	Channel B
(us)	(V)

8.63999995	-2.18878700
8.67999995	-2.18878700
8.71999995	-2.18878700
8.75999995	-2.18878700
8.79999995	-2.18878700
8.83999995	-2.18878700
8.87999995	-2.18878700
8.91999995	-2.01361100
8.95999995	-2.01361100
8.99999995	-2.01361100
9.03999995	-1.83782500
9.07999994	-1.83782500
9.11999994	-1.83782500
9.15999994	-1.83782500
9.19999994	-1.83782500
9.23999994	-1.83782500
9.27999994	-1.83782500
9.31999994	-1.83782500
9.35999994	-1.83782500
9.39999994	-1.83782500
9.43999994	-1.66203800
9.47999994	-1.66203800
9.51999994	-1.66203800
9.55999994	-1.66203800
9.59999994	-1.66203800
9.63999994	-1.66203800
9.67999994	-1.48686200
9.71999994	-1.48686200
9.75999994	-1.48686200
9.79999994	-1.48686200
9.83999994	-1.48686200
9.87999994	-1.48686200
9.91999994	-1.48686200
9.95999994	-1.48686200
9.99999994	-1.48686200
10.03999994	-1.48686200
10.07999994	-1.48686200
10.11999994	-1.31107500
10.15999994	-1.48686200
10.19999994	-1.31107500
10.23999994	-1.31107500
10.27999994	-1.31107500
10.31999994	-1.31107500
10.35999994	-1.13589900
10.39999994	-1.31107500
10.43999994	-1.13589900
10.47999994	-1.13589900
10.51999994	-1.13589900
10.55999994	-1.13589900
10.59999994	-1.13589900
10.63999994	-1.13589900
10.67999994	-1.13589900
10.71999993	-1.13589900
10.75999993	-1.13589900
10.79999993	-1.13589900
10.83999993	-1.13589900
10.87999993	-1.13589900
10.91999993	-1.13589900
10.95999993	-1.13589900
10.99999993	-0.96011230
11.03999993	-1.13589900
11.07999993	-0.96011230
11.11999993	-0.96011230
11.15999993	-0.96011230
11.19999993	-0.96011230
11.23999993	-0.78432570
11.27999993	-0.96011230
11.31999993	-0.96011230
11.35999993	-0.78432570
11.39999993	-0.78432570
11.43999993	-0.78432570
11.47999993	-0.78432570
11.51999993	-0.78432570
11.55999993	-0.78432570
11.59999993	-0.78432570
11.63999993	-0.78432570
11.67999993	-0.78432570
11.71999993	-0.78432570
11.75999993	-0.78432570
11.79999993	-0.78432570
11.83999993	-0.60914950
11.87999993	-0.60914950
11.91999993	-0.60914950
11.95999993	-0.60914950
11.99999993	-0.60914950
12.03999993	-0.60914950
12.07999993	-0.60914950
12.11999993	-0.60914950
12.15999993	-0.43336280
12.19999993	-0.43336280
12.23999993	-0.43336280
12.27999993	-0.43336280
12.31999993	-0.43336280
12.35999992	-0.43336280
