time	V(n002)	V(n004)
7.716284019406885e-001	3.363677e+000	1.628298e+000
7.735815269406885e-001	3.433896e+000	1.557498e+000
7.755346519406885e-001	3.509824e+000	1.480944e+000
7.774877769406885e-001	3.591925e+000	1.398166e+000
7.794409019406885e-001	3.680701e+000	1.308657e+000
7.813940269406885e-001	3.776695e+000	1.211863e+000
7.833471519406885e-001	3.880493e+000	1.107181e+000
7.853002769406885e-001	3.992730e+000	9.939535e-001
7.872534019406885e-001	4.114093e+000	8.714538e-001
7.892065269406885e-001	4.245322e+000	7.388682e-001
7.911596519406885e-001	4.387221e+000	5.952524e-001
7.931127769406885e-001	4.540657e+000	4.394208e-001
7.950659019406885e-001	4.707750e+000	2.688223e-001
7.970190269406885e-001	4.889196e+000	8.332906e-002
7.972147972805169e-001	4.910274e+000	6.242886e-002
7.972637398654741e-001	4.916260e+000	5.682037e-002
7.973616250353883e-001	4.929853e+000	4.530827e-002
7.975573953752168e-001	4.961453e+000	2.087083e-002
7.975609451594297e-001	4.962654e+000	2.007241e-002
7.975636074975894e-001	4.963749e+000	1.938603e-002
7.975667644350529e-001	4.964314e+000	1.903540e-002
7.975672267791382e-001	4.964238e+000	1.908252e-002
7.975683826393512e-001	4.963602e+000	1.947799e-002
7.975688449834364e-001	4.962967e+000	1.987766e-002
7.975697696716068e-001	4.961082e+000	2.107362e-002
7.975699176910455e-001	4.960598e+000	2.138520e-002
7.975702137299230e-001	4.959088e+000	2.237201e-002
7.975705381703209e-001	4.956807e+000	2.388431e-002
7.975706181245859e-001	4.955963e+000	2.445598e-002
7.975707780331158e-001	4.953519e+000	2.614960e-002
7.975709330744577e-001	4.950360e+000	2.838101e-002
7.975709702466670e-001	4.949291e+000	2.915771e-002
7.975710445910856e-001	4.946251e+000	3.143595e-002
7.975711482997692e-001	4.939911e+000	3.640367e-002
7.975712362390035e-001	4.931102e+000	4.370343e-002
7.975712937546332e-001	4.921414e+000	5.222850e-002
7.975713367932080e-001	4.909481e+000	6.332972e-002
7.975713740795172e-001	4.892805e+000	7.958644e-002
7.975714076266633e-001	4.868451e+000	1.041644e-001
7.975714377974574e-001	4.831805e+000	1.418772e-001
7.975714664157811e-001	4.770650e+000	2.050354e-001
7.975714994298343e-001	4.651376e+000	3.275611e-001
7.975715309182430e-001	4.472373e+000	5.100868e-001
7.975715762195706e-001	4.123337e+000	8.642382e-001
7.975716232620402e-001	3.701315e+000	1.291540e+000
7.975716774172150e-001	3.184714e+000	1.814315e+000
7.975717496290199e-001	2.485885e+000	2.520858e+000
7.975718940526296e-001	1.087142e+000	3.933532e+000
7.975719272311592e-001	7.762257e-001	4.249241e+000
7.975719935882184e-001	1.831769e-001	4.856707e+000
7.975719945352464e-001	1.757148e-001	4.864446e+000
7.975719964293023e-001	1.629368e-001	4.877800e+000
7.975720002174143e-001	1.398717e-001	4.901384e+000
7.975720077936380e-001	1.022560e-001	4.937478e+000
7.975720170672201e-001	6.790813e-002	4.966638e+000
7.975720212266017e-001	5.727940e-002	4.974223e+000
7.975720256078865e-001	4.970811e-002	4.978702e+000
7.975720310364952e-001	4.280285e-002	4.982383e+000
7.975720363721345e-001	3.786885e-002	4.984811e+000
7.975720426613251e-001	3.374748e-002	4.986710e+000
7.975720506931775e-001	3.001346e-002	4.988348e+000
7.975720588906752e-001	2.736601e-002	4.989469e+000
7.975720710807164e-001	2.467302e-002	4.990575e+000
7.975720831004035e-001	2.287242e-002	4.991300e+000
7.975721026475047e-001	2.095114e-002	4.992060e+000
7.975721225980617e-001	1.965903e-002	4.992566e+000
7.975721525531692e-001	1.843479e-002	4.993040e+000
7.975721883875042e-001	1.750451e-002	4.993398e+000
7.975722375037310e-001	1.672469e-002	4.993697e+000
7.975723019974237e-001	1.610590e-002	4.993933e+000
7.975723902065777e-001	1.561171e-002	4.994121e+000
7.975725131354922e-001	1.522269e-002	4.994269e+000
7.975726842925724e-001	1.493166e-002	4.994379e+000
7.975729362896433e-001	1.471732e-002	4.994460e+000
7.975732981815585e-001	1.457926e-002	4.994513e+000
7.975747095050380e-001	1.446872e-002	4.994554e+000
8.013466450382188e-001	1.394139e-002	4.994559e+000
8.051185805713996e-001	1.345250e-002	4.994561e+000
8.088905161045805e-001	1.300207e-002	4.994559e+000
8.126624516377613e-001	1.259009e-002	4.994555e+000
8.164343871709422e-001	1.221655e-002	4.994546e+000
8.202063227041230e-001	1.188147e-002	4.994535e+000
8.239782582373039e-001	1.158484e-002	4.994520e+000
8.259313832373039e-001	1.154020e-002	4.994462e+000
8.278845082373039e-001	1.177922e-002	4.994266e+000
8.298376332373039e-001	1.249934e-002	4.993831e+000
8.300817738623039e-001	1.276389e-002	4.993688e+000
8.305700551123039e-001	1.370361e-002	4.993195e+000
8.306921254248039e-001	1.409114e-002	4.992993e+000
8.309362660498039e-001	1.649894e-002	4.991721e+000
8.314245472998039e-001	2.593059e-002	4.986687e+000
8.314364766640509e-001	2.673943e-002	4.986238e+000
8.314394590051126e-001	2.712659e-002	4.986020e+000
8.314454236872362e-001	2.826693e-002	4.985367e+000
8.314573530514832e-001	3.146482e-002	4.983514e+000
8.314588333411335e-001	3.225943e-002	4.983040e+000
8.314617939204342e-001	3.484148e-002	4.981483e+000
8.314621130960027e-001	3.529298e-002	4.981205e+000
8.314629110349240e-001	3.698261e-002	4.980155e+000
8.314632302104925e-001	3.828370e-002	4.979323e+000
8.314638685616296e-001	4.199153e-002	4.976917e+000
8.314639428574268e-001	4.266062e-002	4.976471e+000
8.314640914490211e-001	4.474938e-002	4.975043e+000
8.314643033098325e-001	4.912274e-002	4.971965e+000
8.314644283503971e-001	5.288911e-002	4.969236e+000
8.314644536080210e-001	5.398934e-002	4.968411e+000
8.314645041232688e-001	5.704837e-002	4.966041e+000
8.314645893207679e-001	6.465893e-002	4.959855e+000
8.314646668924087e-001	7.622783e-002	4.949828e+000
8.314647215195343e-001	9.048589e-002	4.936649e+000
8.314647619641337e-001	1.086096e-001	4.918990e+000
8.314647953226568e-001	1.336124e-001	4.893725e+000
8.314648249188348e-001	1.709885e-001	4.855236e+000
8.314648533442454e-001	2.338367e-001	4.790333e+000
8.314648860814388e-001	3.554940e-001	4.665407e+000
8.314649178743894e-001	5.400711e-001	4.477262e+000
8.314649644991849e-001	9.041191e-001	4.107956e+000
8.314650136623815e-001	1.347992e+000	3.658558e+000
8.314650679497454e-001	1.866951e+000	3.133418e+000
8.314651440875722e-001	2.603868e+000	2.388402e+000
8.314652963632259e-001	4.075891e+000	9.013954e-001
8.314653301089270e-001	4.397392e+000	5.758802e-001
8.314653385453523e-001	4.475397e+000	4.963959e-001
8.314653554182029e-001	4.624886e+000	3.427430e-001
8.314653741500557e-001	4.782800e+000	1.790306e-001
8.314653764927054e-001	4.800904e+000	1.601090e-001
8.314653811780045e-001	4.832874e+000	1.267965e-001
8.314653894912701e-001	4.881338e+000	7.796246e-002
8.314653970957506e-001	4.914949e+000	4.708817e-002
8.314654050595594e-001	4.939440e+000	2.805315e-002
8.314654085467242e-001	4.946805e+000	2.326867e-002
8.314654134152865e-001	4.953928e+000	1.931314e-002
8.314654187976909e-001	4.959786e+000	1.632010e-002
8.314654244239179e-001	4.964180e+000	1.423130e-002
8.314654317762189e-001	4.968257e+000	1.240102e-002
8.314654395102353e-001	4.971271e+000	1.110317e-002
8.314654499602359e-001	4.974077e+000	9.934900e-003
8.314654613579143e-001	4.976169e+000	9.084053e-003
8.314654775161448e-001	4.978147e+000	8.295309e-003
8.314654959833107e-001	4.979639e+000	7.708300e-003
8.314655224427302e-001	4.981009e+000	7.174952e-003
8.314655530881512e-001	4.982020e+000	6.784625e-003
8.314655969608946e-001	4.982914e+000	6.441214e-003
8.314656503027885e-001	4.983581e+000	6.186537e-003
8.314657292431755e-001	4.984163e+000	5.964614e-003
8.314658275915547e-001	4.984582e+000	5.805081e-003
8.314659803003625e-001	4.984940e+000	5.669648e-003
8.314661745883707e-001	4.985178e+000	5.579373e-003
8.314664978757187e-001	4.985362e+000	5.509750e-003
8.314679580581041e-001	4.985529e+000	5.446484e-003
8.353797171686400e-001	4.986082e+000	5.438077e-003
