
-100.09325342	0.38300730	2.63069600
-100.01325342	0.42741170	7.10959200
-99.93325342	0.47166360	7.37296700
-99.85325342	0.47166360	2.19153400
-99.77325342	0.51606800	2.80617700
-99.69325342	0.51606800	4.21124900
-99.61325343	0.56031980	4.12366100
-99.53325343	0.60472430	4.12366100
-99.45325343	0.64897610	4.12366100
-99.37325343	0.69338050	5.61662600
-99.29325343	0.73763240	6.40705600
-99.21325343	0.73763240	2.45490900
-99.13325343	0.82628860	2.36701600
-99.05325343	0.82628860	4.12366100
-98.97325343	0.87069310	3.85998100
-98.89325343	0.91494490	3.77239300
-98.81325343	0.95934930	3.85998100
-98.73325343	1.00360100	3.85998100
-98.65325343	1.04800600	3.94787400
-98.57325343	1.09225700	4.03576800
-98.49325343	1.13666200	4.21124900
-98.41325343	1.13666200	4.21124900
-98.33325343	1.18091400	4.29914200
-98.25325343	1.22531800	4.38703600
-98.17325343	1.26957000	4.38703600
-98.09325343	1.31397400	4.38703600
-98.01325344	1.35822600	4.38703600
-97.93325344	1.40263100	4.38703600
-97.85325344	1.40263100	4.38703600
-97.77325344	1.49128700	4.38703600
-97.69325344	1.53553900	4.38703600
-97.61325344	1.53553900	4.38703600
-97.53325344	1.57994300	4.38703600
-97.45325344	1.62434800	4.38703600
-97.37325344	1.66859900	4.47492900
-97.29325344	1.66859900	4.38703600
-97.21325344	1.75725600	4.47492900
-97.13325344	1.75725600	4.38703600
-97.05325344	1.80166000	4.38703600
-96.97325344	1.84591200	4.38703600
-96.89325344	1.84591200	4.47492900
-96.81325344	1.89031600	4.38703600
-96.73325344	1.93456800	4.38703600
-96.65325344	1.97897300	4.47492900
-96.57325344	1.97897300	4.47492900
-96.49325344	2.02322500	4.47492900
-96.41325344	2.06762900	4.47492900
-96.33325345	2.06762900	4.56282200
-96.25325345	2.06762900	4.56282200
-96.17325345	2.11188100	4.56282200
-96.09325345	2.15628500	4.56282200
-96.01325345	2.20053700	4.56282200
-95.93325345	2.20053700	4.56282200
-95.85325345	2.20053700	4.56282200
-95.77325345	2.24494100	4.56282200
-95.69325345	2.24494100	4.56282200
-95.61325345	2.24494100	4.56282200
-95.53325345	2.28919300	4.56282200
-95.45325345	2.28919300	4.65041100
-95.37325345	2.28919300	4.56282200
-95.29325345	2.28919300	4.65041100
-95.21325345	2.28919300	4.65041100
-95.13325345	2.28919300	4.65041100
-95.05325345	2.33359800	4.73830400
-94.97325345	2.33359800	4.73830400
-94.89325345	2.33359800	4.73830400
-94.81325345	2.33359800	4.73830400
-94.73325346	2.33359800	4.73830400
-94.65325346	2.33359800	4.82619700
-94.57325346	2.28919300	4.73830400
-94.49325346	2.28919300	4.82619700
-94.41325346	2.28919300	4.82619700
-94.33325346	2.28919300	4.82619700
-94.25325346	2.28919300	4.82619700
-94.17325346	2.28919300	4.82619700
-94.09325346	2.24494100	4.82619700
-94.01325346	2.24494100	4.91409000
-93.93325346	2.20053700	4.91409000
-93.85325346	2.20053700	4.91409000
-93.77325346	2.15628500	4.91409000
-93.69325346	2.15628500	4.91409000
-93.61325346	2.11188100	4.91409000
-93.53325346	2.11188100	4.91409000
-93.45325346	2.06762900	4.91409000
-93.37325346	2.02322500	5.00167800
-93.29325346	2.02322500	5.00167800
-93.21325346	1.97897300	5.00167800
-93.13325346	1.93456800	5.08957200
-93.05325347	1.89031600	5.00167800
-92.97325347	1.84591200	5.00167800
-92.89325347	1.80166000	5.00167800
-92.81325347	1.75725600	5.00167800
-92.73325347	1.71300400	4.82619700
-92.65325347	1.66859900	4.38703600
-92.57325347	1.62434800	3.77239300
-92.49325347	1.57994300	3.15744500
-92.41325347	1.53553900	7.37296700
-92.33325347	1.49128700	8.16339600
-92.25325347	1.40263100	4.03576800
-92.17325347	1.40263100	1.57689100
-92.09325347	1.31397400	3.77239300
-92.01325347	1.22531800	3.77239300
-91.93325347	1.18091400	3.85998100
-91.85325347	1.13666200	3.85998100
-91.77325347	1.04800600	3.68450000
-91.69325347	1.00360100	3.68450000
-91.61325347	0.95934930	3.59660600
-91.53325347	0.87069310	3.50871300
-91.45325348	0.82628860	3.50871300
-91.37325348	0.73763240	3.42112500
-91.29325348	0.64897610	3.42112500
-91.21325348	0.60472430	3.33323200
-91.13325348	0.51606800	3.33323200
-91.05325348	0.42741170	3.24533800
-90.97325348	0.33875550	3.24533800
-90.89325348	0.29435100	3.15744500
-90.81325348	0.20569470	3.15744500
-90.73325348	0.11719110	3.06985700
-90.65325348	0.07278664	2.98196400
-90.57325348	-0.01586962	2.98196400
-90.49325348	-0.10452590	2.89407000
-90.41325348	-0.19318220	2.89407000
-90.33325348	-0.23743400	2.89407000
-90.25325348	-0.37049470	2.80617700
-90.17325348	-0.41474660	2.71828400
-90.09325348	-0.54780720	2.71828400
-90.01325348	-0.59205910	2.63069600
-89.93325348	-0.68071540	2.45490900
-89.85325348	-0.72511980	2.45490900
-89.77325349	-0.81377610	2.27942800
-89.69325349	-0.90243230	2.19153400
-89.61325349	-0.99108860	2.01574800
-89.53325349	-1.07974500	1.84026600
-89.45325349	-1.16840100	1.66447900
-89.37325349	-1.25705700	1.48899800
-89.29325349	-1.30146200	1.31321100
-89.21325349	-1.39011800	1.04983700
-89.13325349	-1.47877400	0.69856870
-89.05325349	-1.52302600	0.61067540
-88.97325349	-1.61168300	0.34730060
-88.89325349	-1.70033900	0.08392590
-88.81325349	-1.87765100	0.17151400
-88.73325349	-1.87765100	0.52278210
-88.65325349	-1.92205600	6.58253700
-88.57325349	-2.01071200	7.28507300
