Time	Channel A
(us)	(V)

0.00000000	3.39747300
0.04000000	3.35322100
0.08000000	3.35322100
0.12000000	3.30881700
0.16000000	3.30881700
0.20000000	3.26456500
0.24000000	3.26456500
0.28000000	3.22016000
0.32000000	3.22016000
0.36000000	3.17590900
0.40000000	3.17590900
0.44000000	3.17590900
0.48000000	3.13150400
0.52000000	3.13150400
0.56000000	3.08725200
0.60000000	3.08725200
0.64000000	3.08725200
0.68000000	3.08725200
0.72000000	3.04284800
0.76000000	2.99859600
0.80000000	2.99859600
0.83999999	2.99859600
0.87999999	2.99859600
0.91999999	2.99859600
0.95999999	2.95419200
0.99999999	2.99859600
1.03999999	2.95419200
1.07999999	2.95419200
1.11999999	2.90978700
1.15999999	2.95419200
1.19999999	2.90978700
1.23999999	2.90978700
1.27999999	2.90978700
1.31999999	2.86553500
1.35999999	2.86553500
1.39999999	2.90978700
1.43999999	2.86553500
1.47999999	2.82113100
1.51999999	2.82113100
1.55999999	2.82113100
1.59999999	2.82113100
1.63999999	2.82113100
1.67999999	2.82113100
1.71999999	2.82113100
1.75999999	2.77687900
1.79999999	2.77687900
1.83999999	2.77687900
1.87999999	2.77687900
1.91999999	2.73247500
1.95999999	2.73247500
1.99999999	2.68822300
2.03999999	2.68822300
2.07999999	2.68822300
2.11999999	2.68822300
2.15999999	2.64381800
2.19999999	2.64381800
2.23999999	2.64381800
2.27999999	2.59956700
2.31999999	2.59956700
2.35999999	2.59956700
2.39999999	2.59956700
2.43999999	2.55516200
2.47999998	2.55516200
2.51999998	2.55516200
2.55999998	2.51091000
2.59999998	2.51091000
2.63999998	2.51091000
2.67999998	2.46650600
2.71999998	2.46650600
2.75999998	2.46650600
2.79999998	2.42225400
2.83999998	2.37785000
2.87999998	2.37785000
2.91999998	2.37785000
2.95999998	2.33359800
2.99999998	2.33359800
3.03999998	2.28919300
3.07999998	2.28919300
3.11999998	2.28919300
3.15999998	2.24494100
3.19999998	2.24494100
3.23999998	2.24494100
3.27999998	2.20053700
3.31999998	2.20053700
3.35999998	2.20053700
3.39999998	2.15628500
3.43999998	2.11188100
3.47999998	2.06762900
3.51999998	2.11188100
3.55999998	2.06762900
3.59999998	2.06762900
3.63999998	2.02322500
3.67999998	2.02322500
3.71999998	1.97897300
3.75999998	1.93456800
3.79999998	1.93456800
3.83999998	1.89031600
3.87999998	1.93456800
3.91999998	1.89031600
3.95999998	1.84591200
3.99999998	1.84591200
4.03999998	1.84591200
4.07999998	1.80166000
