Time	Channel A
(us)	(V)

0.00000000	2.10211500
0.04000000	2.10211500
0.08000000	2.10211500
0.12000000	2.10211500
0.16000000	2.10211500
0.20000000	2.10211500
0.24000000	2.10211500
0.28000000	2.10211500
0.32000000	2.10211500
0.36000000	2.10211500
0.40000000	2.10211500
0.44000000	2.10211500
0.48000000	2.10211500
0.52000000	2.10211500
0.56000000	2.10211500
0.60000000	2.10211500
0.64000000	2.10211500
0.68000000	2.19061900
0.72000000	2.19061900
0.76000000	2.19061900
0.80000000	2.27942800
0.83999999	2.27942800
0.87999999	2.27942800
0.91999999	2.36793100
0.95999999	2.36793100
0.99999999	2.36793100
1.03999999	2.36793100
1.07999999	2.45674000
1.11999999	2.45674000
1.15999999	2.45674000
1.19999999	2.54524400
1.23999999	2.54524400
1.27999999	2.63405300
1.31999999	2.63405300
1.35999999	2.63405300
1.39999999	2.63405300
1.43999999	2.72255600
1.47999999	2.72255600
1.51999999	2.72255600
1.55999999	2.72255600
1.59999999	2.72255600
1.63999999	2.72255600
1.67999999	2.72255600
1.71999999	2.63405300
1.75999999	2.63405300
1.79999999	2.63405300
1.83999999	2.63405300
1.87999999	2.54524400
1.91999999	2.45674000
1.95999999	2.45674000
1.99999999	2.45674000
2.03999999	2.36793100
2.07999999	2.36793100
2.11999999	2.27942800
2.15999999	2.27942800
2.19999999	2.19061900
2.23999999	2.10211500
2.27999999	2.01330600
2.31999999	1.92480200
2.35999999	1.83599400
2.39999999	1.74749000
2.43999999	1.74749000
2.47999998	1.65868100
2.51999998	1.57017700
2.55999998	1.39286500
2.59999998	1.30405600
2.63999998	1.21555200
2.67999998	1.12674300
2.71999998	1.03824000
2.75999998	0.94943080
2.79999998	0.86092720
2.83999998	0.68361460
2.87999998	0.68361460
2.91999998	0.59480580
2.95999998	0.50630210
2.99999998	0.32898950
3.03999998	0.32898950
3.07999998	0.24048580
3.11999998	0.15167700
3.15999998	0.15167700
3.19999998	0.06317332
3.23999998	0.06317332
3.27999998	-0.02563555
3.31999998	-0.02563555
3.35999998	-0.02563555
3.39999998	-0.02563555
3.43999998	-0.02563555
3.47999998	0.06317332
3.51999998	-0.02563555
3.55999998	0.06317332
3.59999998	0.15167700
3.63999998	0.15167700
3.67999998	0.24048580
3.71999998	0.32898950
3.75999998	0.32898950
3.79999998	0.32898950
3.83999998	0.50630210
3.87999998	0.50630210
3.91999998	0.50630210
3.95999998	0.59480580
3.99999998	0.59480580
4.03999998	0.59480580
4.07999998	0.59480580
