Time	Channel A
(us)	(V)

0.00000000	4.31867400
0.04000000	4.31867400
0.08000000	4.40717800
0.12000000	4.40717800
0.16000000	4.40717800
0.20000000	4.49598700
0.24000000	4.49598700
0.28000000	4.49598700
0.32000000	4.49598700
0.36000000	4.49598700
0.40000000	4.58449000
0.44000000	4.58449000
0.48000000	4.58449000
0.52000000	4.58449000
0.56000000	4.58449000
0.60000000	4.58449000
0.64000000	4.58449000
0.68000000	4.58449000
0.72000000	4.58449000
0.76000000	4.58449000
0.80000000	4.58449000
0.83999999	4.49598700
0.87999999	4.49598700
0.91999999	4.49598700
0.95999999	4.40717800
0.99999999	4.40717800
1.03999999	4.40717800
1.07999999	4.40717800
1.11999999	4.31867400
1.15999999	4.22986600
1.19999999	4.22986600
1.23999999	4.14136200
1.27999999	4.14136200
1.31999999	4.05255300
1.35999999	4.05255300
1.39999999	3.96404900
1.43999999	3.96404900
1.47999999	3.87524000
1.51999999	3.87524000
1.55999999	3.78673700
1.59999999	3.69792800
1.63999999	3.69792800
1.67999999	3.69792800
1.71999999	3.60942400
1.75999999	3.52061500
1.79999999	3.52061500
1.83999999	3.43211200
1.87999999	3.43211200
1.91999999	3.34330300
1.95999999	3.34330300
1.99999999	3.34330300
2.03999999	3.25479900
2.07999999	3.16599000
2.11999999	3.16599000
2.15999999	3.07718100
2.19999999	3.07718100
2.23999999	3.07718100
2.27999999	3.07718100
2.31999999	2.98867800
2.35999999	2.98867800
2.39999999	2.89986900
2.43999999	2.89986900
2.47999998	2.89986900
2.51999998	2.81136500
2.55999998	2.81136500
2.59999998	2.81136500
2.63999998	2.72255600
2.67999998	2.72255600
2.71999998	2.72255600
2.75999998	2.72255600
2.79999998	2.72255600
2.83999998	2.63405300
2.87999998	2.63405300
2.91999998	2.63405300
2.95999998	2.63405300
2.99999998	2.63405300
3.03999998	2.54524400
3.07999998	2.54524400
3.11999998	2.54524400
3.15999998	2.54524400
3.19999998	2.54524400
3.23999998	2.54524400
3.27999998	2.45674000
3.31999998	2.45674000
3.35999998	2.45674000
3.39999998	2.45674000
3.43999998	2.45674000
3.47999998	2.45674000
3.51999998	2.45674000
3.55999998	2.45674000
3.59999998	2.45674000
3.63999998	2.45674000
3.67999998	2.45674000
3.71999998	2.45674000
3.75999998	2.45674000
3.79999998	2.45674000
3.83999998	2.45674000
3.87999998	2.45674000
3.91999998	2.45674000
3.95999998	2.45674000
3.99999998	2.45674000
4.03999998	2.45674000
4.07999998	2.45674000
