Time	Channel A
(us)	(V)

9.23999994	2.81136500
9.27999994	2.81136500
9.31999994	2.72255600
9.35999994	2.81136500
9.39999994	2.72255600
9.43999994	2.72255600
9.47999994	2.72255600
9.51999994	2.72255600
9.55999994	2.63405300
9.59999994	2.63405300
9.63999994	2.63405300
9.67999994	2.63405300
9.71999994	2.54524400
9.75999994	2.54524400
9.79999994	2.45674000
9.83999994	2.54524400
9.87999994	2.45674000
9.91999994	2.45674000
9.95999994	2.45674000
9.99999994	2.45674000
10.03999994	2.36793100
10.07999994	2.36793100
10.11999994	2.36793100
10.15999994	2.36793100
10.19999994	2.36793100
10.23999994	2.27942800
10.27999994	2.27942800
10.31999994	2.27942800
10.35999994	2.27942800
10.39999994	2.19061900
10.43999994	2.19061900
10.47999994	2.10211500
10.51999994	2.10211500
10.55999994	2.10211500
10.59999994	2.10211500
10.63999994	2.01330600
10.67999994	2.01330600
10.71999993	2.01330600
10.75999993	2.01330600
10.79999993	2.01330600
10.83999993	2.01330600
10.87999993	1.92480200
10.91999993	1.92480200
10.95999993	1.92480200
10.99999993	1.92480200
11.03999993	1.92480200
11.07999993	1.83599400
11.11999993	1.83599400
11.15999993	1.74749000
11.19999993	1.74749000
11.23999993	1.74749000
11.27999993	1.74749000
11.31999993	1.74749000
11.35999993	1.65868100
11.39999993	1.74749000
11.43999993	1.65868100
11.47999993	1.65868100
11.51999993	1.65868100
11.55999993	1.65868100
11.59999993	1.57017700
11.63999993	1.57017700
11.67999993	1.57017700
11.71999993	1.57017700
11.75999993	1.57017700
11.79999993	1.57017700
11.83999993	1.48136800
11.87999993	1.48136800
11.91999993	1.39286500
11.95999993	1.39286500
11.99999993	1.39286500
12.03999993	1.39286500
12.07999993	1.39286500
12.11999993	1.39286500
12.15999993	1.30405600
12.19999993	1.30405600
12.23999993	1.30405600
12.27999993	1.30405600
12.31999993	1.30405600
12.35999992	1.30405600
12.39999992	1.21555200
12.43999992	1.21555200
12.47999992	1.21555200
12.51999992	1.21555200
