Time	Channel B
(us)	(V)

8.55999995	-9.91241200
8.59999995	-9.91241200
8.63999995	-9.91241200
8.67999995	-9.73723600
8.71999995	-9.56144900
8.75999995	-9.56144900
8.79999995	-9.38627200
8.83999995	-9.21048600
8.87999995	-9.21048600
8.91999995	-9.03469900
8.95999995	-8.85952300
8.99999995	-8.85952300
9.03999995	-8.68373700
9.07999994	-8.68373700
9.11999994	-8.50856000
9.15999994	-8.50856000
9.19999994	-8.33277400
9.23999994	-8.15698700
9.27999994	-8.15698700
9.31999994	-7.98181100
9.35999994	-7.80602500
9.39999994	-7.80602500
9.43999994	-7.63084800
9.47999994	-7.63084800
9.51999994	-7.45506100
9.55999994	-7.45506100
9.59999994	-7.27927500
9.63999994	-7.27927500
9.67999994	-7.10409900
9.71999994	-7.10409900
9.75999994	-6.92831200
9.79999994	-6.92831200
9.83999994	-6.75313600
9.87999994	-6.75313600
9.91999994	-6.57734900
9.95999994	-6.57734900
9.99999994	-6.75313600
10.03999994	-6.57734900
10.07999994	-6.57734900
10.11999994	-6.40156300
10.15999994	-6.40156300
10.19999994	-6.40156300
10.23999994	-6.40156300
10.27999994	-6.40156300
10.31999994	-6.40156300
10.35999994	-6.40156300
10.39999994	-6.40156300
10.43999994	-6.22638600
10.47999994	-6.22638600
10.51999994	-6.22638600
10.55999994	-6.22638600
10.59999994	-6.22638600
10.63999994	-6.22638600
10.67999994	-6.22638600
10.71999993	-6.22638600
10.75999993	-6.22638600
10.79999993	-6.22638600
10.83999993	-6.22638600
10.87999993	-6.05060000
10.91999993	-6.05060000
10.95999993	-6.05060000
10.99999993	-6.05060000
11.03999993	-6.22638600
11.07999993	-6.22638600
11.11999993	-6.05060000
11.15999993	-6.22638600
11.19999993	-6.22638600
11.23999993	-6.22638600
11.27999993	-6.22638600
11.31999993	-6.05060000
11.35999993	-6.22638600
11.39999993	-6.22638600
11.43999993	-6.22638600
11.47999993	-6.22638600
11.51999993	-6.05060000
11.55999993	-6.05060000
11.59999993	-6.22638600
11.63999993	-6.05060000
11.67999993	-6.05060000
11.71999993	-6.05060000
11.75999993	-6.05060000
11.79999993	-6.05060000
