Time	Channel B
(us)	(V)

0.00000000	-6.40156300
0.04000000	-6.22638600
0.08000000	-6.40156300
0.12000000	-6.22638600
0.16000000	-6.22638600
0.20000000	-6.22638600
0.24000000	-6.22638600
0.28000000	-6.22638600
0.32000000	-6.22638600
0.36000000	-6.22638600
0.40000000	-6.22638600
0.44000000	-6.40156300
0.48000000	-6.22638600
0.52000000	-6.22638600
0.56000000	-6.22638600
0.60000000	-6.22638600
0.64000000	-6.22638600
0.68000000	-6.22638600
0.72000000	-6.22638600
0.76000000	-6.22638600
0.80000000	-6.22638600
0.83999999	-6.22638600
0.87999999	-6.22638600
0.91999999	-6.22638600
0.95999999	-6.22638600
0.99999999	-6.22638600
1.03999999	-6.22638600
1.07999999	-6.22638600
1.11999999	-6.05060000
1.15999999	-6.22638600
1.19999999	-6.05060000
1.23999999	-6.22638600
1.27999999	-6.05060000
1.31999999	-6.05060000
1.35999999	-6.05060000
1.39999999	-6.05060000
1.43999999	-6.05060000
1.47999999	-5.87542300
1.51999999	-6.05060000
1.55999999	-5.87542300
1.59999999	-5.87542300
1.63999999	-5.87542300
1.67999999	-5.87542300
1.71999999	-5.69963700
1.75999999	-5.69963700
1.79999999	-5.69963700
1.83999999	-5.69963700
1.87999999	-5.69963700
1.91999999	-5.69963700
1.95999999	-5.69963700
1.99999999	-5.52446100
2.03999999	-5.52446100
2.07999999	-5.52446100
2.11999999	-5.52446100
2.15999999	-5.34867400
2.19999999	-5.34867400
2.23999999	-5.34867400
2.27999999	-5.34867400
2.31999999	-5.34867400
2.35999999	-5.34867400
2.39999999	-5.17288700
2.43999999	-5.17288700
2.47999998	-4.99771100
2.51999998	-4.99771100
2.55999998	-4.99771100
2.59999998	-4.99771100
2.63999998	-4.99771100
2.67999998	-4.82192500
2.71999998	-4.82192500
2.75999998	-4.82192500
2.79999998	-4.64674800
2.83999998	-4.64674800
2.87999998	-4.64674800
2.91999998	-4.47096200
2.95999998	-4.47096200
2.99999998	-4.47096200
3.03999998	-4.47096200
3.07999998	-4.29517500
3.11999998	-4.29517500
3.15999998	-4.29517500
3.19999998	-4.29517500
3.23999998	-4.29517500
3.27999998	-4.11999900
3.31999998	-4.11999900
3.35999998	-4.11999900
3.39999998	-4.11999900
3.43999998	-4.11999900
3.47999998	-3.94421200
3.51999998	-3.94421200
3.55999998	-3.94421200
3.59999998	-3.94421200
3.63999998	-3.94421200
3.67999998	-3.76903600
3.71999998	-3.76903600
3.75999998	-3.76903600
