Time	Channel B
(us)	(V)

9.23999994	3.25205200
9.27999994	3.25205200
9.31999994	3.07687600
9.35999994	3.07687600
9.39999994	3.07687600
9.43999994	3.07687600
9.47999994	2.90108900
9.51999994	2.90108900
9.55999994	3.07687600
9.59999994	2.90108900
9.63999994	2.90108900
9.67999994	2.90108900
9.71999994	2.72530300
9.75999994	2.72530300
9.79999994	2.72530300
9.83999994	2.72530300
9.87999994	2.72530300
9.91999994	2.72530300
9.95999994	2.72530300
9.99999994	2.55012700
10.03999994	2.55012700
10.07999994	2.55012700
10.11999994	2.55012700
10.15999994	2.72530300
10.19999994	2.55012700
10.23999994	2.55012700
10.27999994	2.72530300
10.31999994	2.72530300
10.35999994	2.72530300
10.39999994	2.55012700
10.43999994	2.72530300
10.47999994	2.72530300
10.51999994	2.72530300
10.55999994	2.72530300
10.59999994	2.72530300
10.63999994	2.55012700
10.67999994	2.55012700
10.71999993	2.55012700
10.75999993	2.55012700
10.79999993	2.55012700
10.83999993	2.37434000
10.87999993	2.37434000
10.91999993	2.37434000
10.95999993	2.37434000
10.99999993	2.19916400
11.03999993	2.37434000
11.07999993	2.19916400
11.11999993	2.19916400
11.15999993	2.02337700
11.19999993	2.02337700
11.23999993	2.02337700
11.27999993	2.02337700
11.31999993	2.02337700
11.35999993	1.84759100
11.39999993	1.84759100
11.43999993	1.84759100
11.47999993	1.67241400
11.51999993	1.67241400
11.55999993	1.67241400
11.59999993	1.67241400
11.63999993	1.67241400
11.67999993	1.49662800
11.71999993	1.49662800
11.75999993	1.32145100
11.79999993	1.32145100
11.83999993	1.32145100
11.87999993	1.32145100
11.91999993	1.14566500
11.95999993	1.14566500
11.99999993	1.14566500
12.03999993	1.14566500
12.07999993	1.14566500
12.11999993	0.96987830
12.15999993	0.96987830
12.19999993	0.96987830
12.23999993	0.79470200
12.27999993	0.79470200
12.31999993	0.79470200
12.35999992	0.79470200
12.39999992	0.61891540
12.43999992	0.61891540
12.47999992	0.61891540
12.51999992	0.61891540
12.55999992	0.61891540
12.59999992	0.44373910
12.63999992	0.44373910
12.67999992	0.44373910
12.71999992	0.26795250
12.75999992	0.26795250
12.79999992	0.26795250
12.83999992	0.26795250
12.87999992	0.26795250
12.91999992	0.09277627
12.95999992	0.09277627
12.99999992	0.09277627
13.03999992	0.09277627
13.07999992	-0.08239998
13.11999992	-0.08239998
13.15999992	-0.08239998
13.19999992	-0.08239998
13.23999992	-0.08239998
13.27999992	-0.08239998
13.31999992	-0.25818660
13.35999992	-0.25818660
13.39999992	-0.25818660
13.43999992	-0.25818660
13.47999992	-0.25818660
13.51999992	-0.25818660
13.55999992	-0.43336280
13.59999992	-0.43336280
13.63999992	-0.43336280
13.67999992	-0.43336280
13.71999992	-0.43336280
13.75999992	-0.43336280
13.79999992	-0.43336280
13.83999992	-0.43336280
13.87999992	-0.43336280
13.91999992	-0.43336280
13.95999992	-0.43336280
13.99999991	-0.25818660
14.03999991	-0.43336280
14.07999991	-0.25818660
14.11999991	-0.43336280
14.15999991	-0.25818660
14.19999991	-0.25818660
14.23999991	-0.25818660
14.27999991	-0.25818660
14.31999991	-0.25818660
14.35999991	-0.25818660
14.39999991	-0.25818660
14.43999991	-0.25818660
14.47999991	-0.25818660
14.51999991	-0.25818660
14.55999991	-0.25818660
14.59999991	-0.25818660
14.63999991	-0.25818660
14.67999991	-0.43336280
14.71999991	-0.43336280
14.75999991	-0.43336280
14.79999991	-0.43336280
14.83999991	-0.43336280
14.87999991	-0.43336280
14.91999991	-0.43336280
14.95999991	-0.60914950
14.99999991	-0.60914950
15.03999991	-0.78432570
15.07999991	-0.78432570
15.11999991	-0.60914950
15.15999991	-0.78432570
15.19999991	-0.78432570
15.23999991	-0.78432570
15.27999991	-0.78432570
15.31999991	-0.78432570
15.35999991	-0.78432570
15.39999991	-0.96011230
15.43999991	-0.96011230
15.47999991	-0.96011230
15.51999991	-1.13589900
15.55999991	-1.13589900
15.59999991	-1.13589900
15.63999990	-1.13589900
15.67999990	-1.13589900
15.71999990	-1.31107500
15.75999990	-1.31107500
15.79999990	-1.31107500
15.83999990	-1.31107500
15.87999990	-1.48686200
15.91999990	-1.48686200
15.95999990	-1.48686200
15.99999990	-1.48686200
16.03999990	-1.48686200
16.07999990	-1.48686200
16.11999990	-1.48686200
16.15999990	-1.66203800
16.19999990	-1.66203800
16.23999990	-1.66203800
16.27999990	-1.66203800
16.31999990	-1.83782500
16.35999990	-1.83782500
16.39999990	-2.01361100
16.43999990	-2.18878700
16.47999990	-2.18878700
16.51999990	-2.18878700
16.55999990	-2.36457400
16.59999990	-2.36457400
16.63999990	-2.53975000
16.67999990	-2.71553700
16.71999990	-2.89132400
16.75999990	-2.89132400
16.79999990	-3.06650000
16.83999990	-3.24228600
16.87999990	-3.41746300
16.91999990	-3.59324900
16.95999990	-3.59324900
16.99999990	-3.76903600
17.03999990	-3.94421200
17.07999990	-3.94421200
17.11999990	-4.11999900
17.15999990	-4.29517500
17.19999990	-4.29517500
17.23999990	-4.47096200
17.27999989	-4.64674800
17.31999989	-4.64674800
17.35999989	-4.82192500
17.39999989	-4.99771100
17.43999989	-4.99771100
17.47999989	-5.17288700
17.51999989	-5.34867400
17.55999989	-5.34867400
17.59999989	-5.52446100
17.63999989	-5.52446100
17.67999989	-5.52446100
17.71999989	-5.69963700
17.75999989	-5.69963700
17.79999989	-5.69963700
17.83999989	-5.69963700
17.87999989	-5.87542300
17.91999989	-5.87542300
17.95999989	-5.87542300
