Time	Channel A	Channel B
(us)	(V)	(V)

0.00000000	-0.73488570	-2.98959300
0.08000000	-0.82338940	-3.07748700
0.16000000	-0.73488570	-3.07748700
0.24000000	-0.82338940	-3.16538000
0.32000000	-0.73488570	-3.16538000
0.40000000	-0.73488570	-3.16538000
0.48000000	-0.73488570	-3.16538000
0.56000000	-0.82338940	-3.16538000
0.64000000	-0.82338940	-3.16538000
0.72000000	-0.82338940	-3.16538000
0.80000000	-0.82338940	-3.16538000
0.87999999	-0.82338940	-3.16538000
0.95999999	-0.82338940	-3.16538000
1.03999999	-0.82338940	-3.25327300
1.11999999	-0.73488570	-3.25327300
1.19999999	-0.82338940	-3.25327300
1.27999999	-0.73488570	-3.25327300
1.35999999	-0.82338940	-3.25327300
1.43999999	-0.82338940	-3.25327300
1.51999999	-0.82338940	-3.34086100
1.59999999	-0.82338940	-3.25327300
1.67999999	-0.82338940	-3.34086100
1.75999999	-0.82338940	-3.34086100
1.83999999	-0.82338940	-3.34086100
1.91999999	-0.82338940	-3.34086100
1.99999999	-0.82338940	-3.34086100
2.07999999	-0.73488570	-3.34086100
2.15999999	-0.82338940	-3.34086100
2.23999999	-0.82338940	-3.34086100
2.31999999	-0.82338940	-3.34086100
2.39999999	-0.73488570	-3.34086100
2.47999998	-0.82338940	-3.34086100
2.55999998	-0.82338940	-3.42875500
2.63999998	-0.82338940	-3.42875500
2.71999998	-0.82338940	-3.42875500
2.79999998	-0.82338940	-3.34086100
2.87999998	-0.82338940	-3.42875500
2.95999998	-0.82338940	-3.34086100
3.03999998	-0.82338940	-3.42875500
3.11999998	-0.82338940	-3.42875500
3.19999998	-0.82338940	-3.34086100
3.27999998	-0.82338940	-3.42875500
3.35999998	-0.82338940	-3.42875500
3.43999998	-0.82338940	-3.34086100
3.51999998	-0.82338940	-3.42875500
3.59999998	-0.82338940	-3.42875500
3.67999998	-0.82338940	-3.42875500
3.75999998	-0.82338940	-3.42875500
3.83999998	-0.82338940	-3.34086100
3.91999998	-0.82338940	-3.42875500
3.99999998	-0.82338940	-3.34086100
4.07999998	-0.82338940	-3.34086100
4.15999997	-0.82338940	-3.42875500
4.23999997	-0.82338940	-3.42875500
4.31999997	-0.82338940	-3.34086100
4.39999997	-0.82338940	-3.42875500
4.47999997	-0.82338940	-3.34086100
4.55999997	-0.82338940	-3.34086100
4.63999997	-0.82338940	-3.34086100
4.71999997	-0.82338940	-3.34086100
4.79999997	-0.82338940	-3.34086100
4.87999997	-0.82338940	-3.34086100
4.95999997	-0.82338940	-3.34086100
5.03999997	-0.82338940	-3.34086100
5.11999997	-0.82338940	-3.34086100
5.19999997	-0.82338940	-3.34086100
5.27999997	-0.82338940	-3.25327300
5.35999997	-0.82338940	-3.25327300
5.43999997	-0.82338940	-3.34086100
5.51999997	-0.82338940	-3.34086100
5.59999997	-0.82338940	-3.34086100
5.67999997	-0.82338940	-3.25327300
5.75999996	-0.82338940	-3.25327300
5.83999996	-0.82338940	-3.25327300
5.91999996	-0.82338940	-3.25327300
5.99999996	-0.82338940	-3.25327300
6.07999996	-0.82338940	-3.16538000
6.15999996	-0.82338940	-3.16538000
6.23999996	-0.82338940	-3.16538000
6.31999996	-0.82338940	-3.16538000
6.39999996	-0.82338940	-3.16538000
6.47999996	-0.82338940	-3.16538000
6.55999996	-0.82338940	-3.16538000
6.63999996	-0.82338940	-3.16538000
6.71999996	-0.82338940	-3.16538000
6.79999996	-0.82338940	-3.07748700
6.87999996	-0.82338940	-3.16538000
6.95999996	-0.82338940	-3.07748700
7.03999996	-0.82338940	-2.98959300
7.11999996	-0.82338940	-2.98959300
7.19999996	-0.82338940	-3.07748700
7.27999996	-0.82338940	-2.98959300
7.35999996	-0.82338940	-2.98959300
7.43999995	-0.82338940	-2.98959300
7.51999995	-0.82338940	-2.98959300
7.59999995	-0.82338940	-2.90200500
7.67999995	-0.82338940	-2.90200500
7.75999995	-0.82338940	-2.90200500
7.83999995	-0.82338940	-2.90200500
7.91999995	-0.82338940	-2.90200500
7.99999995	-0.82338940	-2.81411200
8.07999995	-0.82338940	-2.81411200
8.15999995	-0.82338940	-2.81411200
8.23999995	-0.73488570	-2.81411200
8.31999995	-0.73488570	-2.81411200
8.39999995	-0.73488570	-2.81411200
8.47999995	-0.82338940	-2.81411200
8.55999995	-0.82338940	-2.72621800
8.63999995	-0.73488570	-2.72621800
8.71999995	-0.73488570	-2.72621800
8.79999995	-0.73488570	-2.72621800
8.87999995	-0.82338940	-2.63832500
8.95999995	-0.82338940	-2.63832500
9.03999995	-0.82338940	-2.63832500
9.11999994	-0.73488570	-2.63832500
9.19999994	-0.73488570	-2.55043200
9.27999994	-0.73488570	-2.55043200
9.35999994	-0.82338940	-2.55043200
9.43999994	-0.73488570	-2.46284400
9.51999994	-0.82338940	-2.46284400
9.59999994	-0.82338940	-2.46284400
9.67999994	-0.82338940	-2.46284400
9.75999994	-0.73488570	-2.46284400
9.83999994	-0.82338940	-2.37495000
9.91999994	-0.73488570	-2.37495000
9.99999994	-0.73488570	-2.37495000
10.07999994	-0.73488570	-2.37495000
10.15999994	-0.73488570	-2.28705700
10.23999994	-0.73488570	-2.28705700
10.31999994	-0.73488570	-2.28705700
10.39999994	-0.82338940	-2.19916400
10.47999994	-0.73488570	-2.19916400
10.55999994	-0.73488570	-2.19916400
10.63999994	-0.73488570	-2.11157600
10.71999993	-0.73488570	-2.11157600
10.79999993	-0.73488570	-2.11157600
10.87999993	-0.73488570	-2.11157600
10.95999993	-0.73488570	-2.11157600
11.03999993	-0.73488570	-2.02368200
11.11999993	-0.73488570	-2.02368200
11.19999993	-0.73488570	-2.02368200
11.27999993	-0.73488570	-2.02368200
11.35999993	-0.73488570	-1.93578900
11.43999993	-0.73488570	-1.93578900
11.51999993	-0.73488570	-1.93578900
11.59999993	-0.73488570	-1.84789600
11.67999993	-0.73488570	-1.84789600
11.75999993	-0.73488570	-1.76030800
11.83999993	-0.73488570	-1.84789600
11.91999993	-0.73488570	-1.76030800
11.99999993	-0.73488570	-1.76030800
12.07999993	-0.64607690	-1.76030800
12.15999993	-0.73488570	-1.67241400
12.23999993	-0.73488570	-1.67241400
12.31999993	-0.73488570	-1.67241400
12.39999992	-0.64607690	-1.67241400
12.47999992	-0.73488570	-1.58452100
12.55999992	-0.64607690	-1.58452100
12.63999992	-0.73488570	-1.58452100
12.71999992	-0.64607690	-1.49662800
12.79999992	-0.64607690	-1.49662800
12.87999992	-0.64607690	-1.49662800
12.95999992	-0.64607690	-1.49662800
13.03999992	-0.64607690	-1.40904000
13.11999992	-0.55757310	-1.40904000
13.19999992	-0.55757310	-1.40904000
13.27999992	-0.55757310	-1.40904000
13.35999992	-0.55757310	-1.32114600
13.43999992	-0.55757310	-1.32114600
13.51999992	-0.55757310	-1.32114600
13.59999992	-0.55757310	-1.23325300
13.67999992	-0.55757310	-1.23325300
13.75999992	-0.55757310	-1.23325300
13.83999992	-0.55757310	-1.23325300
13.91999992	-0.55757310	-1.23325300
13.99999991	-0.55757310	-1.14536000
14.07999991	-0.55757310	-1.05746600
14.15999991	-0.55757310	-1.05746600
14.23999991	-0.55757310	-1.05746600
14.31999991	-0.55757310	-1.05746600
14.39999991	-0.55757310	-1.05746600
14.47999991	-0.55757310	-1.05746600
14.55999991	-0.55757310	-1.05746600
14.63999991	-0.55757310	-0.96987830
14.71999991	-0.55757310	-0.88198490
14.79999991	-0.55757310	-0.88198490
14.87999991	-0.55757310	-0.88198490
14.95999991	-0.55757310	-0.79409160
15.03999991	-0.55757310	-0.79409160
15.11999991	-0.55757310	-0.79409160
15.19999991	-0.55757310	-0.79409160
15.27999991	-0.55757310	-0.70619830
15.35999991	-0.46876430	-0.70619830
15.43999991	-0.46876430	-0.70619830
15.51999991	-0.55757310	-0.70619830
15.59999991	-0.46876430	-0.61861020
15.67999990	-0.46876430	-0.53071690
15.75999990	-0.46876430	-0.53071690
15.83999990	-0.46876430	-0.53071690
15.91999990	-0.46876430	-0.53071690
15.99999990	-0.46876430	-0.53071690
16.07999990	-0.46876430	-0.53071690
16.15999990	-0.46876430	-0.44282360
16.23999990	-0.46876430	-0.44282360
16.31999990	-0.46876430	-0.35493030
16.39999990	-0.38026060	-0.35493030
16.47999990	-0.46876430	-0.35493030
16.55999990	-0.38026060	-0.35493030
16.63999990	-0.38026060	-0.26734220
16.71999990	-0.38026060	-0.26734220
16.79999990	-0.38026060	-0.17944880
16.87999990	-0.29145180	-0.17944880
16.95999990	-0.29145180	-0.17944880
17.03999990	-0.38026060	-0.09155553
17.11999990	-0.29145180	-0.09155553
17.19999990	-0.20294810	-0.09155553
17.27999989	-0.20294810	-0.09155553
17.35999989	-0.20294810	-0.00366222
17.43999989	-0.11413920	-0.00366222
17.51999989	-0.20294810	-0.00366222
17.59999989	-0.11413920	-0.00366222
17.67999989	-0.11413920	-0.00366222
17.75999989	-0.02563555	-0.00366222
17.83999989	-0.02563555	0.08392590
17.91999989	-0.02563555	0.17151400
17.99999989	-0.02563555	0.17151400
18.07999989	0.06317332	0.17151400
18.15999989	0.06317332	0.17151400
18.23999989	0.15167700	0.25940730
18.31999989	0.15167700	0.25940730
18.39999989	0.24048580	0.34730060
18.47999989	0.24048580	0.34730060
18.55999989	0.32898950	0.34730060
18.63999989	0.59480580	0.43519400
18.71999989	0.59480580	0.43519400
18.79999989	0.59480580	0.43519400
18.87999989	0.59480580	0.43519400
18.95999988	0.59480580	0.43519400
19.03999988	0.50630210	0.52278210
19.11999988	0.59480580	0.61067540
19.19999988	1.65868100	0.61067540
19.27999988	2.10211500	0.61067540
19.35999988	1.92480200	0.61067540
19.43999988	1.03824000	0.69856870
19.51999988	0.15167700	0.69856870
19.59999988	4.58449000	0.69856870
19.67999988	4.14136200	0.69856870
19.75999988	4.31867400	0.69856870
19.83999988	4.05255300	0.69856870
19.91999988	4.14136200	0.78646200
19.99999988	4.05255300	0.78646200
20.07999988	4.05255300	0.87405010
20.15999988	4.05255300	0.87405010
20.23999988	4.05255300	0.87405010
20.31999988	4.05255300	0.87405010
20.39999988	4.05255300	0.96194340
20.47999988	4.05255300	0.96194340
20.55999988	4.05255300	1.04983700
20.63999987	3.96404900	1.04983700
20.71999987	3.96404900	1.04983700
20.79999987	3.96404900	1.04983700
20.87999987	3.96404900	1.13773000
20.95999987	3.96404900	1.13773000
21.03999987	3.87524000	1.22531800
21.11999987	3.87524000	1.22531800
21.19999987	3.96404900	1.31321100
21.27999987	3.96404900	1.31321100
21.35999987	3.87524000	1.31321100
21.43999987	3.87524000	1.40110500
21.51999987	3.87524000	1.40110500
21.59999987	3.87524000	1.40110500
21.67999987	3.87524000	1.40110500
21.75999987	3.87524000	1.48899800
21.83999987	3.78673700	1.48899800
21.91999987	3.87524000	1.57689100
21.99999987	3.87524000	1.57689100
22.07999987	3.78673700	1.57689100
22.15999987	3.78673700	1.66447900
22.23999986	3.78673700	1.75237300
22.31999986	3.78673700	1.75237300
22.39999986	3.78673700	1.75237300
22.47999986	3.78673700	1.75237300
22.55999986	3.78673700	1.75237300
