Time	Channel A	Channel B
(us)	(V)	(V)

0.00000000	-0.55757310	-1.14536000
0.08000000	-0.55757310	-1.14536000
0.16000000	-0.55757310	-1.14536000
0.24000000	-0.55757310	-1.05746600
0.32000000	-0.55757310	-1.05746600
0.40000000	-0.55757310	-1.05746600
0.48000000	-0.55757310	-1.05746600
0.56000000	-0.55757310	-0.96987830
0.64000000	-0.55757310	-0.96987830
0.72000000	-0.55757310	-0.88198490
0.80000000	-0.55757310	-0.88198490
0.87999999	-0.55757310	-0.88198490
0.95999999	-0.55757310	-0.79409160
1.03999999	-0.55757310	-0.79409160
1.11999999	-0.55757310	-0.79409160
1.19999999	-0.55757310	-0.79409160
1.27999999	-0.55757310	-0.70619830
1.35999999	-0.46876430	-0.70619830
1.43999999	-0.46876430	-0.70619830
1.51999999	-0.46876430	-0.61861020
1.59999999	-0.46876430	-0.61861020
1.67999999	-0.46876430	-0.61861020
1.75999999	-0.46876430	-0.61861020
1.83999999	-0.46876430	-0.53071690
1.91999999	-0.46876430	-0.53071690
1.99999999	-0.46876430	-0.44282360
2.07999999	-0.46876430	-0.44282360
2.15999999	-0.46876430	-0.44282360
2.23999999	-0.46876430	-0.44282360
2.31999999	-0.46876430	-0.35493030
2.39999999	-0.46876430	-0.35493030
2.47999998	-0.46876430	-0.35493030
2.55999998	-0.38026060	-0.35493030
2.63999998	-0.38026060	-0.35493030
2.71999998	-0.38026060	-0.35493030
2.79999998	-0.38026060	-0.26734220
2.87999998	-0.38026060	-0.17944880
2.95999998	-0.29145180	-0.17944880
3.03999998	-0.29145180	-0.17944880
3.11999998	-0.29145180	-0.09155553
3.19999998	-0.20294810	-0.09155553
3.27999998	-0.29145180	-0.09155553
3.35999998	-0.20294810	-0.00366222
3.43999998	-0.20294810	-0.00366222
3.51999998	-0.11413920	-0.00366222
3.59999998	-0.11413920	-0.00366222
3.67999998	-0.11413920	0.08392590
3.75999998	-0.11413920	0.08392590
3.83999998	-0.02563555	0.08392590
3.91999998	-0.02563555	0.17151400
3.99999998	0.06317332	0.17151400
4.07999998	0.06317332	0.17151400
4.15999997	0.06317332	0.17151400
4.23999997	0.06317332	0.17151400
4.31999997	0.15167700	0.34730060
4.39999997	0.15167700	0.34730060
4.47999997	0.24048580	0.34730060
4.55999997	0.32898950	0.34730060
4.63999997	0.59480580	0.34730060
4.71999997	0.59480580	0.34730060
4.79999997	0.59480580	0.43519400
4.87999997	0.59480580	0.43519400
4.95999997	0.59480580	0.52278210
5.03999997	0.59480580	0.52278210
5.11999997	0.59480580	0.52278210
5.19999997	0.15167700	0.52278210
5.27999997	1.21555200	0.61067540
5.35999997	1.83599400	0.61067540
5.43999997	1.92480200	0.61067540
5.51999997	1.30405600	0.69856870
5.59999997	0.32898950	0.69856870
5.67999997	2.81136500	0.69856870
5.75999996	4.49598700	0.69856870
5.83999996	4.05255300	0.69856870
5.91999996	4.05255300	0.78646200
5.99999996	4.14136200	0.87405010
6.07999996	4.05255300	0.87405010
6.15999996	4.05255300	0.87405010
6.23999996	4.05255300	0.87405010
6.31999996	4.05255300	0.96194340
6.39999996	4.05255300	0.96194340
6.47999996	4.05255300	1.04983700
6.55999996	4.05255300	1.04983700
6.63999996	4.05255300	1.04983700
6.71999996	4.05255300	1.04983700
6.79999996	3.96404900	1.04983700
6.87999996	3.96404900	1.13773000
6.95999996	3.96404900	1.13773000
7.03999996	3.96404900	1.22531800
7.11999996	3.96404900	1.22531800
7.19999996	3.87524000	1.22531800
7.27999996	3.87524000	1.31321100
7.35999996	3.87524000	1.31321100
7.43999995	3.87524000	1.40110500
7.51999995	3.87524000	1.40110500
7.59999995	3.87524000	1.40110500
7.67999995	3.87524000	1.40110500
7.75999995	3.87524000	1.40110500
7.83999995	3.87524000	1.48899800
7.91999995	3.87524000	1.57689100
7.99999995	3.87524000	1.57689100
8.07999995	3.87524000	1.57689100
8.15999995	3.87524000	1.57689100
8.23999995	3.78673700	1.66447900
8.31999995	3.87524000	1.66447900
8.39999995	3.78673700	1.75237300
8.47999995	3.78673700	1.75237300
8.55999995	3.78673700	1.75237300
8.63999995	3.78673700	1.75237300
8.71999995	3.78673700	1.75237300
8.79999995	3.78673700	1.84026600
8.87999995	3.78673700	1.92815900
8.95999995	3.78673700	1.92815900
9.03999995	3.78673700	2.01574800
9.11999994	3.69792800	2.01574800
9.19999994	3.69792800	2.01574800
9.27999994	3.78673700	2.10364100
9.35999994	3.69792800	2.10364100
9.43999994	3.69792800	2.10364100
9.51999994	3.69792800	2.10364100
9.59999994	3.69792800	2.19153400
9.67999994	3.69792800	2.19153400
9.75999994	3.69792800	2.27942800
9.83999994	3.69792800	2.27942800
9.91999994	3.69792800	2.36701600
9.99999994	3.69792800	2.36701600
10.07999994	3.69792800	2.45490900
10.15999994	3.69792800	2.45490900
10.23999994	3.69792800	2.45490900
10.31999994	3.69792800	2.54280200
10.39999994	3.69792800	2.54280200
10.47999994	3.69792800	2.54280200
10.55999994	3.69792800	2.54280200
10.63999994	3.69792800	2.63069600
10.71999993	3.69792800	2.71828400
10.79999993	3.69792800	2.71828400
10.87999993	3.69792800	2.71828400
10.95999993	3.60942400	2.71828400
11.03999993	3.60942400	2.80617700
11.11999993	3.60942400	2.80617700
11.19999993	3.60942400	2.80617700
11.27999993	3.60942400	2.80617700
11.35999993	3.60942400	2.89407000
11.43999993	3.69792800	2.98196400
11.51999993	3.60942400	2.98196400
11.59999993	3.60942400	2.98196400
11.67999993	3.60942400	3.06985700
11.75999993	3.60942400	3.06985700
11.83999993	3.60942400	3.06985700
11.91999993	3.52061500	3.15744500
11.99999993	3.60942400	3.15744500
12.07999993	3.60942400	3.24533800
12.15999993	3.60942400	3.24533800
12.23999993	3.60942400	3.24533800
12.31999993	3.52061500	3.33323200
12.39999992	3.60942400	3.33323200
12.47999992	3.60942400	3.33323200
12.55999992	3.52061500	3.42112500
12.63999992	3.60942400	3.42112500
12.71999992	3.52061500	3.42112500
12.79999992	3.60942400	3.42112500
12.87999992	3.52061500	3.50871300
12.95999992	3.60942400	3.50871300
13.03999992	3.52061500	3.50871300
13.11999992	3.52061500	3.50871300
13.19999992	3.60942400	3.59660600
13.27999992	3.52061500	3.59660600
13.35999992	3.52061500	3.59660600
13.43999992	3.52061500	3.68450000
13.51999992	3.52061500	3.68450000
13.59999992	3.52061500	3.68450000
13.67999992	3.52061500	3.68450000
13.75999992	3.52061500	3.77239300
13.83999992	3.60942400	3.77239300
13.91999992	3.52061500	3.85998100
13.99999991	3.52061500	3.77239300
14.07999991	3.52061500	3.85998100
14.15999991	3.52061500	3.85998100
14.23999991	3.60942400	3.85998100
14.31999991	3.60942400	3.94787400
14.39999991	3.60942400	3.94787400
14.47999991	3.60942400	3.94787400
14.55999991	3.52061500	4.03576800
14.63999991	3.60942400	4.03576800
14.71999991	3.52061500	4.03576800
14.79999991	3.52061500	4.03576800
14.87999991	3.52061500	4.03576800
14.95999991	3.60942400	4.12366100
15.03999991	3.60942400	4.12366100
15.11999991	3.52061500	4.12366100
15.19999991	3.52061500	4.12366100
15.27999991	3.52061500	4.12366100
15.35999991	3.60942400	4.12366100
15.43999991	3.60942400	4.21124900
15.51999991	3.60942400	4.21124900
15.59999991	3.60942400	4.21124900
15.67999990	3.60942400	4.21124900
15.75999990	3.52061500	4.21124900
15.83999990	3.52061500	4.21124900
15.91999990	3.60942400	4.21124900
15.99999990	3.60942400	4.29914200
16.07999990	3.52061500	4.29914200
16.15999990	3.60942400	4.29914200
16.23999990	3.60942400	4.29914200
16.31999990	3.52061500	4.29914200
16.39999990	3.60942400	4.29914200
16.47999990	3.60942400	4.38703600
16.55999990	3.69792800	4.29914200
16.63999990	3.60942400	4.38703600
16.71999990	3.60942400	4.29914200
16.79999990	3.60942400	4.38703600
16.87999990	3.60942400	4.38703600
16.95999990	3.69792800	4.38703600
17.03999990	3.60942400	4.38703600
17.11999990	3.69792800	4.38703600
17.19999990	3.60942400	4.38703600
17.27999989	3.60942400	4.38703600
17.35999989	3.69792800	4.38703600
17.43999989	3.60942400	4.38703600
17.51999989	3.69792800	4.38703600
17.59999989	3.69792800	4.38703600
17.67999989	3.60942400	4.38703600
17.75999989	3.60942400	4.38703600
17.83999989	3.60942400	4.38703600
17.91999989	3.69792800	4.38703600
17.99999989	3.69792800	4.38703600
18.07999989	3.69792800	4.38703600
18.15999989	3.69792800	4.38703600
18.23999989	3.60942400	4.38703600
18.31999989	3.69792800	4.38703600
18.39999989	3.69792800	4.38703600
18.47999989	3.69792800	4.38703600
18.55999989	3.69792800	4.38703600
18.63999989	3.69792800	4.38703600
18.71999989	3.69792800	4.38703600
18.79999989	3.69792800	4.29914200
18.87999989	3.69792800	4.38703600
18.95999988	3.69792800	4.29914200
19.03999988	3.69792800	4.29914200
19.11999988	3.78673700	4.29914200
19.19999988	3.69792800	4.29914200
19.27999988	3.69792800	4.29914200
19.35999988	3.69792800	4.29914200
19.43999988	3.78673700	4.21124900
19.51999988	3.69792800	4.21124900
19.59999988	3.69792800	4.21124900
19.67999988	3.78673700	4.21124900
19.75999988	3.69792800	4.21124900
19.83999988	3.78673700	4.21124900
19.91999988	3.69792800	4.21124900
19.99999988	3.78673700	4.21124900
20.07999988	3.78673700	4.12366100
20.15999988	3.78673700	4.12366100
20.23999988	3.78673700	4.12366100
20.31999988	3.78673700	4.03576800
20.39999988	3.78673700	4.12366100
20.47999988	3.78673700	4.12366100
20.55999988	3.78673700	4.03576800
20.63999987	3.78673700	4.03576800
20.71999987	3.78673700	4.03576800
20.79999987	3.78673700	3.94787400
20.87999987	3.78673700	3.94787400
20.95999987	3.78673700	3.94787400
21.03999987	3.87524000	3.85998100
21.11999987	3.78673700	3.85998100
21.19999987	3.87524000	3.85998100
21.27999987	3.78673700	3.85998100
21.35999987	3.87524000	3.77239300
21.43999987	3.87524000	3.77239300
21.51999987	3.87524000	3.68450000
21.59999987	3.78673700	3.68450000
21.67999987	3.87524000	3.68450000
21.75999987	3.87524000	3.68450000
21.83999987	3.87524000	3.68450000
21.91999987	3.87524000	3.59660600
21.99999987	3.87524000	3.59660600
22.07999987	3.87524000	3.50871300
22.15999987	3.87524000	3.50871300
22.23999986	3.87524000	3.50871300
22.31999986	3.87524000	3.42112500
22.39999986	3.87524000	3.42112500
22.47999986	3.87524000	3.42112500
22.55999986	3.87524000	3.33323200
22.63999986	3.87524000	3.33323200
22.71999986	3.87524000	3.33323200
22.79999986	3.87524000	3.24533800
22.87999986	3.87524000	3.24533800
22.95999986	3.87524000	3.15744500
23.03999986	3.87524000	3.15744500
23.11999986	3.96404900	3.15744500
23.19999986	3.87524000	3.06985700
23.27999986	3.96404900	2.98196400
23.35999986	3.96404900	2.98196400
23.43999986	3.96404900	2.98196400
23.51999986	3.96404900	2.89407000
23.59999986	3.87524000	2.80617700
23.67999986	3.96404900	2.89407000
23.75999986	3.96404900	2.80617700
23.83999986	3.96404900	2.80617700
23.91999985	3.96404900	2.71828400
23.99999985	3.96404900	2.71828400
24.07999985	3.96404900	2.71828400
24.15999985	3.96404900	2.63069600
